start Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 2
- Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 3
IDENTIFIER Pair{first(bucket index)=8, second(position in its bucket)=0} -> 1
/ Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 3
( Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
CONSTANT Pair{first(bucket index)=0, second(position in its bucket)=0} -> 0
* Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 3
IDENTIFIER Pair{first(bucket index)=7, second(position in its bucket)=0} -> 1
) Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
; Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
write Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 2
( Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
CONSTANT Pair{first(bucket index)=4, second(position in its bucket)=0} -> 0
) Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
; Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
write Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 2
( Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
IDENTIFIER Pair{first(bucket index)=1, second(position in its bucket)=0} -> 1
) Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
; Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
} Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
else Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 2
{ Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
IDENTIFIER Pair{first(bucket index)=1, second(position in its bucket)=0} -> 1
takes Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 3
( Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
- Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 3
IDENTIFIER Pair{first(bucket index)=8, second(position in its bucket)=0} -> 1
+ Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 3
sqrt Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 2
( Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
IDENTIFIER Pair{first(bucket index)=5, second(position in its bucket)=0} -> 1
) Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
) Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
/ Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 3
( Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
CONSTANT Pair{first(bucket index)=0, second(position in its bucket)=0} -> 0
* Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 3
IDENTIFIER Pair{first(bucket index)=7, second(position in its bucket)=0} -> 1
) Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
; Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
IDENTIFIER Pair{first(bucket index)=2, second(position in its bucket)=0} -> 1
takes Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 3
( Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
- Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 3
IDENTIFIER Pair{first(bucket index)=8, second(position in its bucket)=0} -> 1
- Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 3
sqrt Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 2
( Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
IDENTIFIER Pair{first(bucket index)=5, second(position in its bucket)=0} -> 1
) Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
) Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
/ Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 3
( Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
CONSTANT Pair{first(bucket index)=0, second(position in its bucket)=0} -> 0
* Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 3
IDENTIFIER Pair{first(bucket index)=7, second(position in its bucket)=0} -> 1
) Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
; Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
write Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 2
( Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
CONSTANT Pair{first(bucket index)=1, second(position in its bucket)=0} -> 0
) Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
; Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
write Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 2
( Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
IDENTIFIER Pair{first(bucket index)=1, second(position in its bucket)=0} -> 1
) Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
; Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
write Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 2
( Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
CONSTANT Pair{first(bucket index)=9, second(position in its bucket)=0} -> 0
) Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
; Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
write Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 2
( Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
IDENTIFIER Pair{first(bucket index)=2, second(position in its bucket)=0} -> 1
) Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
; Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
} Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
; Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 4
end Pair{first(bucket index)=-1, second(position in its bucket)=-1} -> 2

